"ID","Prod","Quant","Val","Insp","UnitPrice"
"v42","p11",51097,310780,"ok",6.08215746521322
"v45","p11",260,1925,"ok",7.40384615384615
"v42","p11",51282,278770,"ok",5.43602043602044
"v50","p11",46903,281485,"ok",6.00142848005458
"v46","p12",475,2600,"ok",5.47368421052632
"v48","p12",433,3395,"ok",7.84064665127021
"v49","p14",212,1545,"ok",7.2877358490566
"v50","p20",373819,1006375,"ok",2.69214512905979
"v50","p26",36917,117195,"ok",3.1745537286345
"v70","p33",21777,91360,"ok",4.1952518712403
"v68","p59",111,23000,"fraud",207.207207207207
"v68","p59",107,1015,"ok",9.48598130841122
"v100","p108",192866,384780,"ok",1.99506393039727
"v108","p109",34611,12485,"fraud",0.360723469417237
"v113","p122",74396,195375,"ok",2.62614925533631
"v92","p146",1263,4160,"ok",3.29374505146477
"v93","p146",945,5680,"ok",6.01058201058201
"v75","p152",116,1105,"ok",9.52586206896552
"v169","p211",170,1095,"ok",6.44117647058824
"v160","p215",8454,43150,"ok",5.10409273716584
"v161","p215",7322,56570,"ok",7.72603113903305
"v169","p216",1986,132800,"fraud",66.8680765357502
"v167","p216",101,1065,"ok",10.5445544554455
"v183","p225",449988,280360,"ok",0.623038836591198
"v184","p225",269544,158640,"ok",0.588549550351705
"v190","p225",512766,270665,"ok",0.527852860759099
"v183","p225",249544,108630,"ok",0.435314012759273
"v183","p225",386766,204265,"ok",0.528135875438896
"v184","p225",375100,267765,"ok",0.713849640095974
"v184","p226",292322,58260,"ok",0.199300771067521
"v194","p226",114,4515,"fraud",39.6052631578947
"v194","p226",213,11745,"fraud",55.1408450704225
"v195","p226",181211,57230,"ok",0.315819679820761
"v194","p226",172,24800,"fraud",144.186046511628
"v54","p227",9266,41125,"ok",4.43826894021153
"v54","p232",10916,19145,"ok",1.75384756320997
"v44","p235",111,1015,"ok",9.14414414414414
"v43","p276",372,1195,"ok",3.21236559139785
"v43","p289",138,1055,"ok",7.64492753623188
"v231","p302",13058,94650,"ok",7.24843008117629
"v242","p314",4774894,1285080,"ok",0.269132676034274
"v243","p314",277877,9375,"fraud",0.033737948804687
"v245","p319",3500100,830345,"ok",0.237234650438559
"v247","p320",41211,45635,"ok",1.10734997937444
"v216","p321",46166,13020,"ok",0.282025733223584
"v214","p334",9305,5630,"ok",0.605051047823751
"v158","p342",650,25615,"ok",39.4076923076923
"v155","p342",130,21270,"ok",163.615384615385
"v157","p342",40100,7200,"fraud",0.179551122194514
"v279","p362",51566,6175,"fraud",0.119749447310243
"v129","p365",56100,82045,"ok",1.46247771836007
"v287","p367",14377,22220,"ok",1.54552410099464
"v287","p367",12766,19360,"ok",1.51652827823907
"v289","p370",11131,74625,"ok",6.70424939358548
"v50","p376",102,1010,"ok",9.90196078431373
"v110","p460",60100,59945,"ok",0.997420965058236
"v111","p460",12900,10790,"ok",0.836434108527132
"v79","p460",103,1050,"ok",10.1941747572816
"v84","p471",2877,11525,"ok",4.00590893291623
"v210","p498",8044,97925,"ok",12.1736698160119
"v154","p537",105,9655,"fraud",91.9523809523809
"v345","p538",183,17490,"fraud",95.5737704918033
"v349","p538",169,1100,"ok",6.50887573964497
"v350","p538",216798,105340,"ok",0.485890091237004
"v359","p544",128,4445,"fraud",34.7265625
"v363","p545",746,7400,"fraud",9.91957104557641
"v368","p546",101,1030,"ok",10.1980198019802
"v388","p556",24920,17855,"ok",0.716492776886035
"v394","p559",3130200,27440,"ok",0.00876621302153217
"v363","p559",1079,10835,"fraud",10.0417052826691
"v403","p566",157,5715,"fraud",36.4012738853503
"v404","p567",192566,17060,"ok",0.088593001879875
"v253","p584",6755,5015,"ok",0.742413027387121
"v365","p584",138,1295,"ok",9.38405797101449
"v460","p600",101,1015,"ok",10.049504950495
"v420","p601",217233,16360,"ok",0.0753108413546745
"v263","p650",5100,6325,"ok",1.24019607843137
"v371","p658",26766,18475,"ok",0.690241350967645
"v483","p739",11277,20410,"ok",1.80987851378913
"v538","p741",211,3000,"ok",14.218009478673
"v397","p774",7058,22015,"ok",3.11915556814962
"v317","p775",18433,34225,"ok",1.85672435306244
"v563","p777",1300,12125,"ok",9.32692307692308
"v564","p777",288,4880,"ok",16.9444444444444
"v565","p777",711,8900,"ok",12.5175808720113
"v294","p777",655,9610,"ok",14.6717557251908
"v566","p777",211,2480,"ok",11.7535545023697
